from ,to,"
relationship",tour ,stops 
brma,maro,2,1,8
jubi,tasw,2,2,2
thwe,drak,2,2,14
thwe,juti,2,1,6
riha,gwst,2,2,10
riha,bley,2,1,20
shak,0,0,0,0
mija,0,1,0,0
tasw,rafl,2,1,9
tasw,gest,2,1,19
tasw,brpa,2,1,37
tasw,timc,2,1,7
tasw,keur,2,1,6
babu,0,0,0,0
laga,neki,2,1,26
laga,thpu,2,2,33
laga,tath,2,2,4
argr,jubi,2,1,3
cold,muse,2,1,6
drak,liwa,2,1,42
kape,nodo,2,1,6
pibu,0,0,0,0
dagu,riha,2,2,9
edsh,snpa,2,1,NA
edsh,tasw,2,1,47
caha,rhia,2,2,28
caha,grar,2,1,NA
caha,fait,2,1,4
maro,joma,2,1,42
maro,shcr,2,1,16
maro,lekr,2,2,NA
maro,thpo,2,1,1
maro,ofar,1,1,1
maro,matw,2,1,1
maro,mibr,1,1,1
maro,vaca,2,1,3
biei,flth,2,2,5
jbal,0,0,0,0
emin,0,0,0,0
kawe,utwo,2,2,16
kawe,ushe,2,1,40
olro,0,0,0,0
sia,0,0,0,0
duli,trsi,2,1,10
duli,brma,2,2,18
duli,cold,2,2,3
kela,kawe,2,1,18
kela,emin,2,2,8
kela,drak,2,2,38
kela,mami,2,1,9
kela,wikh,2,1,9
sza,lidr,2,1,4
sza,jhai,2,1,12
sza,cold,2,2,1
sza,jesj,2,2,NA
bley,nodo,2,2,25
bley,chag,2,1,45
bley,juti,2,1,45
bley,gwst,2,1,15
bley,utwo,2,2,5
daya,0,0,0,0
hast,0,0,0,0
ladr,0,0,0,0
sepa,0,0,0,0
beyo,0,0,0,0
zala,chlo,2,2,NA
zala,beyo,2,1,1
zala,clba,2,1,1
zala,edsh,2,2,27
zala,tamc,2,2,28
zala,kygo,2,2,6
poma,jubi,2,2,59
poma,fewa,2,1,21
poma,futu,2,1,5
poma,reho,2,2,8
saca,argr,2,1,2
saca,thva,2,2,9
saca,tasw,2,2,26
taim,yoam,NA,1,NA
taim,thbl,NA,NA,NA
taim,yeas,NA,NA,NA
taim,mgmt,NA,NA,NA
trsc,kawe,2,1,1
trsc,juij,2,1,21
trsc,thwe,2,2,24
trsc,riha,2,2,41
trsc,kela,2,2,19
chbr,beyo,2,1,5
chbr,riha,2,1,1
micy,chgi,2,1,22
juti,0,0,0,0
somb,dase,2,2,19
somb,neba,2,2,NA
dofi,taim,2,2,12
mado,0,0,0,0
bubo,0,0,0,0
lipa,sx10,1,1,1
lipa,syof,1,1,1
shme,tasw,2,2,24
shme,auma,2,2,27
sasm,0,0,0,0
adel,jape,NA,2,NA
arsi,0,0,0,0
khal,trsc,2,NA,NA
khal,lord,2,2,17
khal,edsh,2,2,18
doca,thlo,2,NA,NA
doca,lizz,2,1,13
futu,drak,2,NA,NA
futu,liwa,2,1,40
hals,imdr,2,2,40
hals,thko,NA,NA,NA
hals,thwe,2,2,9
mars,delo,2,1,1
mars,thjo,2,1,10
imdr,inte,1,1,1
imdr,awol,2,1,NA
imdr,thpa,2,1,1
jelo,0,0,0,0
karg,gltr,2,1,24
karg,lufo,2,1,15
eljo,0,0,0,0
armo,thbl,2,2,NA
elgo,kape,2,1,6
elgo,brma,2,2,28
shgh,0,0,0,0
olde,jora,2,Na,NA
olde,safe,2,1,5
olde,saca,2,1,9
raal,0,0,0,0
quee,moth,2,1,39
flma,crst,2,NA,NA
ozun,daya,2,1,NA
thch,0,0,0,0
alke,0,0,0,0
prit,0,0,0,0
djsn,sndo,NA,NA,NA
djsn,skri,2,2,NA
neyo ,alke,2,1,NA
jenn,0,0,0,0
malu,0,0,0,0
onre,maro,2,2,NA
onre,zabr,2,1,7
onre,utwo,2,2,8
onre,tath,2,1,1
onre,bojo,2,,13
caca,brma,2,2,20
caca,tasw,2,2,46
caca,cold,2,2,8
brsp,nsyn,2,2,42
chpu,shme,2,2,29
chpu,metr,2,1,12
doom,daya,2,1,9
ushe,jaja,2,2,51
ushe,majb,2,1,NA
ushe,puda,2,NA,NA
arra,0,0,0,0
jayz,puda,0,0,0
jayz,fuge,,,
reho,xxxx,1,1,1
reho,rost,1,1,1
nimi,brsp,2,1,39
nimi,liwa,2,1,39
fure,lega,0,0,0
alwa,0,0,0,0
ondi,biti,2,1,10
pepl,0,0,0,0
faru,daya,2,1,0
liwa,0,0,0,0
kesh,riha,2,2,27
dipl,0,0,0,0
thne,paba,2,1,11
thne,imdr,2,1,25
flri,licr,0,0,0
flri,beyo,2,1,7
thki,juwr,2,1,3
wikh,ugod,1,1,0
raye,tasw,1,1,1
raye,sza,2,1,7
raye,leca,2,1,13
raye,kauc,2,1,17
raye,hals,2,2,4
raye,rior,1,1,7
raye,jegl,1,1,9
cent,emin,NA,NA,NA
doto,trsc,0,0,0
radi,jame,2,2,25
radi,almo,2,1,13
radi,neat,NA,NA,NA
radi,pjha,NA,NA,NA
radi,rem,NA,NA,NA
